milk,country,type,fat_content,texture,rind,color,flavor,aroma,vegetarian,vegan
13,70,47,0,279,11,14,243,190,0,0
4,40,68,0,171,10,8,247,285,1,0
4,77,49,0,93,7,11,273,287,1,0
16,71,13,0,160,7,11,578,5,1,0
4,35,48,0,93,7,8,180,160,0,0
13,35,62,0,171,7,11,434,250,0,0
4,77,73,0,279,7,11,441,284,0,0
4,52,34,0,264,9,8,361,207,0,0
4,77,57,0,160,7,11,469,228,1,0
4,77,42,0,180,7,11,539,304,0,0
4,35,48,0,136,10,8,444,0,0,0
14,44,81,0,110,7,15,441,181,1,0
4,52,75,0,146,7,8,59,285,0,0
4,20,48,0,273,7,4,268,135,1,0
4,9,59,0,93,7,5,441,309,0,0
13,35,62,0,160,7,8,441,127,0,0
4,74,48,0,219,7,11,583,304,1,0
4,41,68,0,93,7,11,578,285,0,0
4,77,47,0,160,7,4,419,23,0,0
4,74,47,0,93,7,6,281,250,0,0
4,70,52,0,93,10,0,589,122,1,0
4,14,52,0,160,10,4,481,285,0,0
18,35,62,0,104,6,8,49,42,0,0
4,77,62,0,94,9,2,588,251,0,0
4,77,62,0,94,7,11,83,113,0,0
4,77,49,0,19,7,15,261,148,1,0
4,77,39,0,19,11,8,93,49,1,0
4,4,41,0,214,10,4,420,207,1,0
4,63,47,0,160,10,9,586,294,0,0
13,35,61,0,94,7,8,54,181,0,0
4,77,73,0,167,8,11,337,197,0,0
13,77,48,0,75,10,11,210,311,0,0
13,35,62,0,180,7,8,192,279,0,0
4,35,68,0,166,9,0,340,304,0,0
4,35,62,0,93,9,15,210,256,1,0
4,35,62,0,160,9,15,471,250,0,0
18,77,48,0,250,7,11,188,193,1,0
13,35,48,0,141,1,15,595,127,0,0
4,77,49,0,94,7,8,211,109,1,0
4,77,49,0,94,9,8,214,109,0,0
4,77,49,0,93,10,8,293,110,0,0
4,77,54,0,279,10,15,29,87,0,0
4,70,47,0,19,7,4,81,298,0,0
13,70,74,0,161,9,15,455,191,1,0
4,77,48,0,93,7,11,269,24,1,0
4,77,48,0,93,7,4,392,98,1,0
4,77,36,0,171,7,8,466,289,0,0
4,77,54,0,51,10,14,186,284,0,0
4,77,48,0,243,7,4,134,163,1,0
4,42,21,0,180,5,4,0,218,0,0
18,65,47,0,94,7,8,69,279,0,0
18,77,36,0,93,9,8,18,291,1,0
5,31,39,0,64,7,4,582,127,1,0
18,77,14,0,134,9,15,189,14,1,0
13,30,61,0,266,7,11,210,75,1,0
4,14,34,0,127,9,5,257,255,1,0
13,77,48,0,67,7,15,561,24,1,0
4,77,42,0,225,7,11,169,244,1,0
13,77,67,0,63,6,4,185,132,0,0
4,33,62,0,160,7,15,441,134,1,0
15,21,62,0,93,7,15,528,284,0,0
4,35,62,0,160,10,11,210,285,1,0
4,52,61,0,67,7,8,327,0,0,0
19,52,14,0,174,9,15,41,273,0,0
4,31,62,0,139,6,4,409,66,0,0
4,40,62,0,93,7,11,588,238,1,0
13,50,61,0,93,7,16,180,57,0,0
13,31,61,0,228,6,11,170,251,0,0
4,77,48,0,180,7,15,598,285,1,0
4,77,48,0,147,7,11,164,100,1,0
4,77,52,0,93,7,4,318,268,1,0
4,77,48,0,93,7,11,228,304,0,0
4,77,48,0,180,7,15,359,268,1,0
4,77,48,0,94,7,15,303,270,1,0
4,40,2,0,40,10,6,116,73,0,0
4,31,49,0,93,6,8,84,285,0,0
13,77,48,0,215,7,15,389,186,1,0
4,30,24,0,106,7,11,589,285,0,0
4,74,48,0,160,10,15,284,279,1,0
4,67,47,0,93,7,15,297,33,1,0
4,18,41,0,70,10,14,595,304,1,0
18,14,62,0,93,9,15,225,212,1,0
13,77,39,0,72,10,4,86,284,1,0
18,30,61,0,202,7,15,562,57,1,0
4,71,43,0,179,9,11,0,0,0,0
13,70,48,0,290,2,15,425,218,0,0
13,14,67,0,171,2,15,2,82,0,0
4,30,61,0,93,2,8,194,21,0,0
18,30,62,0,168,6,15,469,291,1,0
4,77,80,0,171,2,8,9,102,0,0
4,77,67,0,280,2,11,132,250,1,0
13,70,48,0,290,2,15,425,218,0,0
4,67,61,0,25,10,9,360,48,1,0
4,77,66,0,171,10,15,4,52,0,0
13,14,48,0,219,1,8,552,228,0,0
13,4,14,0,171,1,15,294,78,1,0
18,35,62,0,93,7,11,336,191,0,0
13,77,59,0,113,6,15,192,187,0,0
18,35,62,0,160,7,11,381,181,1,0
4,77,61,0,127,2,11,113,197,1,0
